Job,CompanyName,Location,KeySkills,PostedDate,Link
Software Sales Executive -JSM HRIS Software - Mumbai,J & M Technologies,"Pune, Mumbai (All Areas)","['Business Development', 'corporate sales', 'sales management', 'enterprise sales', 'selling', 'corporate sales management', 'public', 'sales executive activities']",Just Now,https://www.naukri.com/job-listings-software-sales-executive-jsm-hris-software-mumbai-jsm-technologies-pvt-ltd-pune-mumbai-all-areas-2-to-5-years-270522000028
Snowflake Developer,Black And White Business Solutions,Pune,"['Snowflake Architecture', 'snowflake developer', 'architecture', 'development', 'snowflake']",Just Now,https://www.naukri.com/job-listings-snowflake-developer-black-and-white-business-solutions-pune-3-to-6-years-110323003293
Software Sales Executive - JSM HRIS Software - Hyderabad,J & M Technologies,Hyderabad/Secunderabad,"['Business Development', 'bd', 'marketing', 'enterprise', 'corporate sales', 'b2b marketing', 'corporate sales management', 'hris']",Just Now,https://www.naukri.com/job-listings-software-sales-executive-jsm-hris-software-hyderabad-jsm-technologies-pvt-ltd-hyderabad-secunderabad-2-to-5-years-270522000012
Software Sales Executive -JSM HRIS Software - Chennai,J & M Technologies,Chennai,"['Business Development', 'sales', 'public', 'government sales', 'sales executive activities', 'enterprise', 'corporate', 'management']",Just Now,https://www.naukri.com/job-listings-software-sales-executive-jsm-hris-software-chennai-jsm-technologies-pvt-ltd-chennai-2-to-5-years-270522000017
Sr Eng./AM/DM - Casting Engineering,Maruti Suzuki,Manesar,"['HPDC', 'rampup support', 'casting die', 'New plant setup', 'High pressure die casting', 'dm', 'pressure', 'transmission']",Just Now,https://www.naukri.com/job-listings-sr-eng-am-dm-casting-engineering-maruti-suzuki-india-limited-manesar-3-to-8-years-100822009249
Equipment & Facility Planning Engineer - Press Engineering,Maruti Suzuki,"Gurgaon/Gurugram, Manesar","['Project Handling', 'Press Shop', 'press shop erection', 'press commissioning', 'capacity', 'eot cranes', 'erection', 'facility planning']",Just Now,https://www.naukri.com/job-listings-equipment-facility-planning-engineer-press-engineering-maruti-suzuki-india-limited-gurgaon-gurugram-manesar-2-to-6-years-291022004569
AM/DM Paint Engineering,Maruti Suzuki,Manesar,"['Paint Engineering', 'Paint shop set-up', 'new model planning', 'painting robots engineering', 'paint technology', 'ams', 'engineering', 'process planning']",Just Now,https://www.naukri.com/job-listings-am-dm-paint-engineering-maruti-suzuki-india-limited-manesar-3-to-6-years-100822008796
Mobile Developer,Anlage Infotech,Mumbai,"['android sdk', 'xcode', 'Android', 'ios sdk', 'ios development', 'android os', 'iphone', 'mobile development']",Just Now,https://www.naukri.com/job-listings-mobile-developer-anlage-infotech-mumbai-4-to-9-years-110323006101
Engine Assembly Automation Engineer,Maruti Suzuki,"Gurgaon/Gurugram, Manesar","['Installation And Commissioning', 'Engine Assy', 'Process and Layout Planning', 'automation engineering', 'automation', 'facilities', 'layout planning', 'process']",Just Now,https://www.naukri.com/job-listings-engine-assembly-automation-engineer-maruti-suzuki-india-limited-gurgaon-gurugram-manesar-2-to-6-years-291022004641
Engineer Casting Equipment (Electrical),Maruti Suzuki,"Gurgaon/Gurugram, Manesar","['Installation And Commissioning', 'CAD', 'planning', 'autocad', 'electricals', 'facility planning', 'compensation', 'automation engineering']",Just Now,https://www.naukri.com/job-listings-engineer-casting-equipment-electrical-maruti-suzuki-india-limited-gurgaon-gurugram-manesar-4-to-8-years-291022004600
AM/DM Transmission Engineering,Maruti Suzuki,"Gurgaon/Gurugram, Manesar","['Transmission Assembly', 'project management', 'dm', 'process', 'transmission', 'assembly', 'facility planning', 'plc']",Just Now,https://www.naukri.com/job-listings-am-dm-transmission-engineering-maruti-suzuki-india-limited-gurgaon-gurugram-manesar-2-to-5-years-291022004686
Engine Assembly Process Engineer,Maruti Suzuki,"Gurgaon/Gurugram, Manesar","['Installation And Commissioning', 'process layout', 'Process Automation', 'design', 'engine assembly', 'automation', 'engine assy', 'software testing']",Just Now,https://www.naukri.com/job-listings-engine-assembly-process-engineer-maruti-suzuki-india-limited-gurgaon-gurugram-manesar-2-to-6-years-291022004670
SAP SD Developer - Chennai,Tech Mahindra,Chennai,"['sap sd', 'Development', 'saps', 'sap', 'edi', 'idoc', 'sd', '5 ETE']",Just Now,https://www.naukri.com/job-listings-sap-sd-developer-chennai-tech-mahindra-chennai-7-to-12-years-250123008454
Sales Engineers For Industrial Products OMAN,Faisal Trade Impex Corp.,Saudi Arabia,"['O&G', 'Oil', 'Gas', 'Oil & Gas', 'Petroleum', 'industrial equipment', 'industrial product', 'industrial products']",Just Now,https://www.naukri.com/job-listings-sales-engineers-for-industrial-products-oman-faisal-trade-impex-corp-saudi-arabia-3-to-8-years-210123005970
QC Engineer For Meat Industry Bahrain,Faisal Trade Impex Corp.,Bahrain,"['Beef', 'FMCG', 'Meat Processing', 'Meat', 'process', 'qc', 'processing']",Just Now,https://www.naukri.com/job-listings-qc-engineer-for-meat-industry-bahrain-faisal-trade-impex-corp-bahrain-2-to-7-years-210123006342
SAP CRM Developer - Gandhidham(Work from office only),Tech Mahindra,Gandhidham,"['SAP CRM Technical', 'sap crm', 'sap', 'sales order', 'crm', 'management', 'middleware', 'technical']",Just Now,https://www.naukri.com/job-listings-sap-crm-developer-gandhidham-work-from-office-only-tech-mahindra-gandhidham-5-to-10-years-250123007944
Telecommunication Tower Engineer For Bahrain Company,Faisal Trade Impex Corp.,Bahrain,"['Telecommunication Tower', 'Telecom Tower', 'telecom', 'telecommunication', 'tower', 'company']",Just Now,https://www.naukri.com/job-listings-telecommunication-tower-engineer-for-bahrain-company-faisal-trade-impex-corp-bahrain-2-to-7-years-210123006563
